#separator:tab
#html:false
小时	xiǎoshí
多久	duōjiǔ
从	cóng
到	dào
飞机场	fēijīchǎng
站	zhàn
先	xiān
先到先得	xiāndàoxiāndé
最后	zuìhòu
过	guo
然后	ránhòu
了	le
