xiǎoshí	小时
duōjiǔ	多久
cóng	从
dào	到
fēijīchǎng	飞机场
zhàn	站
xiān	先
xiāndàoxiāndé	先到先得
zuìhòu	最后
guo	过
ránhòu	然后
le	了
